codigo;sum_trx;mean_trx;sum_monto;mean_monto;clientes_unicos;trx_percapita;monto_percapita
737998253;18;6;129775293;43258431;3;6,000;43258431
737998255;459;3;91641639056;659292367;111;4,135;825600352
737998256;168;2;1118078285;15747581;63;2,667;17747274
737998257;23;1;152390191;8466122;17;1,353;8964129
737998259;1460;2;50342281128;62692754;490;2,980;102739349
737998264;146;4;70128405788;1710448922;33;4,424;2125103206
737998266;2432;3;2237179930;3191412;485;5,014;4612742
737998268;25;2;162889163;12529936;11;2,273;14808106
737998269;47;1;279455526;7165526;37;1,270;7552852
737998270;80;1;467346270;8654561;50;1,600;9346925
737998272;1;1;5962598;5962598;1;1,000;5962598
737998275;3042;4;45513941799;58276494;463;6,570;98302250
737998281;80;3;20122438824;628826213;29;2,759;693877201
737998282;14;1;7927307662;566236262;13;1,077;609792897
737998283;49;1;355388296;10769342;32;1,531;11105884
737998284;80;3;9025594722;300853157;30;2,667;300853157
737998285;157;10;78082031301;5205468753;11;14,273;7098366482
737998286;1;1;5804912;5804912;1;1,000;5804912
737998287;2831;4;343027954988;468617425;591;4,790;580419552
737998289;19;6;98038604;32679535;3;6,333;32679535
737998290;288;2;26492313618;210256457;108;2,667;245299200
737998684;1;1;7293831;7293831;1;1,000;7293831
737998685;1556;2;36356861814;49872238;383;4,063;94926532
737998687;38;1;244095720;7874055;29;1,310;8417094
737998692;191;4;75146855888;1565559498;46;4,152;1633627302
737998694;60;3;413782611;19703934;19;3,158;21778032
737998749;120;2;816246603;13381092;58;2,069;14073217
737998752;214;2;45425196776;432620922;88;2,432;516195418
737998753;41;1;253025332;8725011;25;1,640;10121013
737998754;1883;4;21472772806;42945546;363;5,187;59153644
737998761;817;4;99025994245;428683958;200;4,085;495129971
737998763;406;4;17957529;197335;89;4,562;201770
737998767;1581;3;35068536124;67569434;457;3,460;76736403
737998768;185;10;157803883610;8305467558;19;9,737;8305467558
737998772;9;1;2072647681;259080960;8;1,125;259080960
737998796;365;3;33143244199;280874951;111;3,288;298587786
737998797;960;4;102837418247;376693840;214;4,486;480548683
737998798;10;1;2097535378;299647911;7;1,429;299647911
737998799;12;3;75560052;18890013;3;4,000;25186684
737998805;4506;3;14830202170;10040760;909;4,957;16314854
737998810;4;2;27900862;13950431;1;4,000;27900862
737998811;13;2;80723396;11531914;7;1,857;11531914
737998812;3213;3;103544630119;111218722;786;4,088;131736171
737998815;4;2;28359284;14179642;2;2,000;14179642
737998816;10;1;4616967245;577120906;6;1,667;769494541
